tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_te
apartamento,1490000000,140.6,3,4,2,la florida,6.2041112274,-75.5634498838,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/21620-M6294116,9,15.622222222222222,46.86666666666667,19768.359999999997,4,1,7710113.01686063,169905531.09072375,676633258.4573748,51.661230236847686,3.9824086603518265,87.75918809201623,22.036710839279646,21.00241302505602
apartamento,1290000000,167.0,3,3,1,lorena,6.248093128204346,-75.59606170654297,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-lorena-3-habitaciones-3-banos-1-garajes/21380-M6352877,7,23.857142857142858,55.666666666666664,27889.0,1,1,6520711.758290171,118259606.41891892,736944073.6842105,43.69170603809292,6.231578947368421,113.0158947368421,18.135996621621622,20.533172274298455
apartamento,1225000000,154.0,3,3,2,alejandria,6.201387616,-75.567170077,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-alejandria-3-habitaciones-3-banos-2-garajes/11976-M6440635,8,19.25,51.333333333333336,23716.0,4,1,7061101.707880057,152463909.7744361,602307920.7920792,47.31256211924138,3.9504950495049505,85.29942574257426,21.59208521303258,20.88207628452947
apartamento,1470000000,121.9,3,2,2,altos del poblado,6.2172722,-75.555998,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-3-habitaciones-2-banos-2-garajes/20561-M6240441,7,17.414285714285715,40.63333333333333,14859.61,4,1,8653962.51464445,175092749.76961708,706133545.2734177,57.985447029430716,4.0329113924050635,81.59655696202532,20.23266792215945,20.991095029848776
apartamento,600000000,90.0,3,2,1,la colina,6.1998372077941895,-75.59637451171875,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-colina-3-habitaciones-2-banos-1-garajes/15594-M6059022,6,15.0,30.0,8100.0,1,1,5753824.840380677,81878571.42857143,498391304.34782606,38.5532182435417,6.08695652173913,86.6191304347826,14.230285714285715,20.014723793764873
apartamento,1750000000,316.0,5,4,2,alejandria,6.2005237846,-75.5677285187,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-5-habitaciones-4-banos-2-garajes/13439-M6384826,11,28.727272727272727,63.2,99856.0,4,1,7061101.707880057,152463909.7744361,602307920.7920792,47.31256211924138,3.9504950495049505,85.29942574257426,21.59208521303258,20.88207628452947
apartamento,1185000000,140.0,4,4,2,la florida,6.204911824,-75.567717892,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-4-habitaciones-4-banos-2-garajes/12354-M6421880,10,14.0,35.0,19600.0,4,1,7710113.01686063,169905531.09072375,676633258.4573748,51.661230236847686,3.9824086603518265,87.75918809201623,22.036710839279646,21.00241302505602
casa,1400000000,341.0,5,5,2,la candelaria,6.2476376,-75.5658153,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-simon-bolivar-la-america-5-habitaciones-5-banos-2-garajes/14778-M6332331,12,28.416666666666668,68.2,116281.0,4,1,6190317.218890633,141556288.26903024,798544002.6470588,41.47791379774692,5.641176470588236,128.99888235294117,22.867372262773724,20.60980778452254
apartamento,950000000,106.0,2,2,2,los balsos no.1,6.18739652633667,-75.56127166748047,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no1-2-habitaciones-2-banos-2-garajes/10123-M6109230,6,17.666666666666668,53.0,11236.0,4,1,7358340.838913989,172961071.53917623,663291330.1662707,49.30419818866918,3.8349168646080756,90.14142517814726,23.50544441003407,21.050052370150777
casa,1350000000,220.0,4,5,2,el poblado,6.209064483642578,-75.56769561767578,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/14678-M6305429,11,20.0,55.0,48400.0,4,1,8456730.08050227,190236969.3174807,783091863.1164021,56.66390087723931,4.116402116402116,92.59984126984126,22.49533419023136,20.94366172688146
