tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_count,barrio_te
apartamento,2900000,58.0,3,2,1,San Cristóbal,6.2674027992,-75.6087265118,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-2-banos-1-garajes/21650-M6473275,6,9.666666666666666,19.333333333333332,3364.0,1,1,46179.21935129192,631578.947368421,3230769.230769231,65.97031335898845,5.115384615384616,69.96153846153847,13.676691729323307,22,
apartamento,5700000,64.0,2,2,1,Alejandría,6.199296951293945,-75.56919860839844,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/687-M5456745,5,12.8,32.0,4096.0,1,1,50327.58429434977,956401.826755297,3908419.689303905,71.89654899192824,4.086587436332767,77.65959252971138,19.003531366846698,338,
apartamento,4550000,90.0,3,3,2,San Lucas,6.1842674051,-75.5704463937,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/21649-M6330287,8,11.25,30.0,8100.0,4,1,51309.5937989684,1088151.9507186858,4280533.117932148,73.29941971281201,3.9337641357027464,83.42558966074313,21.207572895277206,332,
apartamento,11900000,254.0,3,3,2,El Tesoro,6.20353364944458,-75.55166625976562,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M4643859,8,31.75,84.66666666666667,64516.0,4,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,3600000,90.0,3,2,1,La Gloria,6.220761299133301,-75.60140991210938,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-gloria-3-habitaciones-2-banos-1-garajes/20692-M6008182,6,15.0,30.0,8100.0,1,1,38718.62615587847,709112.9032258064,6763846.153846154,55.312323079826385,9.538461538461538,174.6923076923077,18.314516129032256,20,
apartamento,16800000,210.0,3,4,2,Los Balsos No.1,6.184234142303467,-75.55809783935547,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5058515,9,23.333333333333332,70.0,44100.0,4,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,3750000,77.0,3,1,1,San Cristóbal,6.266731,-75.6086777,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-1-banos-1-garajes/21650-M6472974,5,15.4,25.666666666666668,5929.0,1,1,46179.21935129192,631578.947368421,3230769.230769231,65.97031335898845,5.115384615384616,69.96153846153847,13.676691729323307,22,
apartamento,16700000,413.0,4,5,2,El Tesoro,6.203347682952881,-75.55573272705078,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-4-habitaciones-5-banos-2-garajes/687-M5008579,11,37.54545454545455,103.25,170569.0,4,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,12900000,228.0,3,4,3,El Tesoro,6.203347682952881,-75.55573272705078,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5380156,10,22.8,76.0,51984.0,9,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,3700000,107.0,3,3,1,Suramericana,6.253666877746582,-75.58427429199219,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-suramericana-3-habitaciones-3-banos-1-garajes/19861-M6389099,7,15.285714285714286,35.666666666666664,11449.0,1,1,29181.494661921708,630769.2307692308,4100000.0,41.68784951703101,6.5,140.5,21.615384615384613,20,
casa,7000000,164.0,4,3,2,Los Balsos No.1,6.1868486404418945,-75.56002044677734,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no1-4-habitaciones-3-banos-2-garajes/687-M6388609,9,18.22222222222222,41.0,26896.0,4,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,8500000,160.0,3,4,2,Los Balsos No.1,6.188079833984375,-75.55982208251953,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5671245,9,17.77777777777778,53.333333333333336,25600.0,4,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,12500000,156.0,3,4,3,Los Balsos No.1,6.191193103790283,-75.56560516357422,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-3-garajes/687-M5380128,10,15.6,52.0,24336.0,9,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,3200000,70.0,3,2,1,San Cristóbal,6.2697654449,-75.6089179005,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-2-banos-1-garajes/21650-M6473273,6,11.666666666666666,23.333333333333332,4900.0,1,1,46179.21935129192,631578.947368421,3230769.230769231,65.97031335898845,5.115384615384616,69.96153846153847,13.676691729323307,22,
