barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
EL POBLADO,EL TESORO,8700000,127.0,2,2,2,Apartamento,6.204288482666016,-75.56065368652344,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-2-banos-2-garajes/687-M4955204
EL POBLADO,LOS BALSOS NO 1,8500000,160.0,3,4,2,Apartamento,6.188079833984375,-75.55982208251953,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5671245
EL POBLADO,EL TESORO,14300000,242.0,3,4,4,Apartamento,6.198575496673584,-75.55679321289062,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-4-garajes/687-M6061390
EL POBLADO,EL TESORO,7200000,175.0,3,4,2,Apartamento,6.2066450119018555,-75.55757904052734,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M5829584
EL POBLADO,CASTROPOL,5700000,124.0,3,3,1,Apartamento,6.216140270233154,-75.56697082519531,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-3-banos-1-garajes/687-M6061480
EL POBLADO,EL TESORO,11900000,254.0,3,3,2,Apartamento,6.20353364944458,-75.55166625976562,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M4643859
EL POBLADO,EL TESORO,36500000,400.0,4,4,4,Casa,6.2037763595581055,-75.55502319335938,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-4-banos-4-garajes/687-M5722847
EL POBLADO,ALTOS DEL POBLADO,6700000,104.0,2,3,1,Apartamento,6.214964389801025,-75.55577087402344,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-1-garajes/687-M5829779
EL POBLADO,ALEJANDRIA,11900000,120.0,3,3,2,Apartamento,6.197765827178955,-75.56597900390625,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-3-banos-2-garajes/687-M4692673
El Poblado,PATIO BONITO,5500000,120.0,3,3,0,Apartamento,6.203060856,-75.575567033,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-3-banos/17076-M6479671
El Poblado,LA FLORIDA,9500000,260.0,4,5,3,Apartamento,6.204753884,-75.568948394,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-4-habitaciones-5-banos-3-garajes/16211-M6367047
Los Bernal,LOMA DE LOS BERNAL,2600000,80.0,3,2,1,Apartamento,6.21800146,-75.60706686,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/16211-M6481677
Santa Maria De Los Angeles,SANTA MARIA DE LOS ANGELES,3700000,42.0,1,1,0,Apartamento,6.18958,-75.58255,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-1-habitaciones-1-banos/17698-M6469337
El Poblado,EL POBLADO,7400000,180.0,3,3,2,Apartamento,6.18919,-75.56649,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/11013-M5791739
Medellin,MEDELLIN,7000000,200.0,3,3,0,Apartamento,6.19969,-75.56644,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-3-banos/11813-M6189034
Via Las Palmas,VIA LAS PALMAS,35000000,6400.0,5,5,4,Casa,6.149377,-75.496277,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-via-las-palmas-5-habitaciones-5-banos-4-garajes/13439-M6384817
BOSQUE DE LA CONCHA,EL TESORO,12000000,350.0,3,5,3,Apartamento,6.208396911621094,-75.55814361572266,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-3-garajes/16549-M6479901
Alto Del Escobero,ALTO DEL ESCOBERO,15500000,540.0,5,5,4,Casa,6.15739,-75.56717,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alto-del-escobero-5-habitaciones-5-banos-4-garajes/2671-M6021479
El Retiro,EL RETIRO,16000000,367.67,4,5,2,Casa,6.056842,-75.503862,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-retiro-4-habitaciones-5-banos-2-garajes/2671-M5812021
