barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
EL POBLADO SAN LUCAS,SAN LUCAS,2000000000,265.0,4,5,3,Casa,6.185735702514648,-75.56875610351562,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-san-lucas-4-habitaciones-5-banos-3-garajes/21888-M6355518
EL POBLADO,EL TESORO,670000000,188.0,3,3,2,Apartamento,6.20308780670166,-75.55728912353516,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M2081576
EL POBLADO,LOS NARANJOS,5550000000,700.0,4,5,2,Casa,6.194509029388428,-75.55546569824219,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-naranjos-4-habitaciones-5-banos-2-garajes/687-M5506852
EL POBLADO,SANTA MARIA DE LOS ANGELES,1100000000,146.0,3,4,1,Apartamento,6.1886162757873535,-75.577880859375,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-1-garajes/687-M2658295
Poblado,POBLADO,1490000000,140.6,3,4,2,Apartamento,6.2041112274,-75.5634498838,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/21620-M6294116
LAURELES,LORENA,1290000000,167.0,3,3,1,Apartamento,6.248093128204346,-75.59606170654297,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-lorena-3-habitaciones-3-banos-1-garajes/21380-M6352877
Los Parra,ALEJANDRIA,1225000000,154.0,3,3,2,Apartamento,6.201387616,-75.567170077,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-alejandria-3-habitaciones-3-banos-2-garajes/11976-M6440635
El Poblado,EL POBLADO,1470000000,121.9,3,2,2,Apartamento,6.2172722,-75.555998,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-3-habitaciones-2-banos-2-garajes/20561-M6240441
GUAYABAL,LA COLINA,600000000,90.0,3,2,1,Apartamento,6.1998372077941895,-75.59637451171875,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-colina-3-habitaciones-2-banos-1-garajes/15594-M6059022
EL POBLADO EL TESORO,LOS NARANJOS,3800000000,558.4,2,3,4,Casa,6.19520487,-75.55319014,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-naranjos-2-habitaciones-3-banos-4-garajes/12475-M4359033
ENVIGADO,ENVIGADO  LOMA EL CHOCHO,3900000000,517.23,3,5,4,Casa,0.0,0.0,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-envigado-loma-el-chocho-3-habitaciones-5-banos-4-garajes/12475-M4434426
El Poblado,EL POBLADO,1750000000,316.0,5,4,2,Apartamento,6.2005237846,-75.5677285187,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-5-habitaciones-4-banos-2-garajes/13439-M6384826
La Tomatera,LA FLORIDA,1185000000,140.0,4,4,2,Apartamento,6.204911824,-75.567717892,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-4-habitaciones-4-banos-2-garajes/12354-M6421880
Simon Bolivar  La America,SIMON BOLIVAR  LA AMERICA,1400000000,341.0,5,5,2,Casa,6.2476376,-75.5658153,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-simon-bolivar-la-america-5-habitaciones-5-banos-2-garajes/14778-M6332331
EL POBLADO,LOS BALSOS NO1,950000000,106.0,2,2,2,Apartamento,6.18739652633667,-75.56127166748047,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no1-2-habitaciones-2-banos-2-garajes/10123-M6109230
EL POBLADO EL TESORO,EL POBLADO,1350000000,220.0,4,5,2,Casa,6.209064483642578,-75.56769561767578,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/14678-M6305429
EL POBLADO PROVENZA,LA FLORIDA,1390000000,134.5,2,3,2,Apartamento,6.202737636,-75.562429369,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-2-habitaciones-3-banos-2-garajes/12475-M6230412
EL POBLADO LAS LOMAS,LAS LOMAS NO 1,3550000000,303.0,3,4,3,Apartamento,6.21198769,-75.56257282,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-lomas-no.1-3-habitaciones-4-banos-3-garajes/12475-M5323470
Variante Palmas,VARIANTE PALMAS,13880000000,904.09,4,5,4,Casa,6.158882,-75.529751,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-variante-palmas-4-habitaciones-5-banos-4-garajes/2671-M5819863
LA CASTELLANA,LA CASTELLANA,1055000000,107.25,3,3,2,Apartamento,6.243334770202637,-75.60614776611328,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-castellana-3-habitaciones-3-banos-2-garajes/17778-M6296501
Poblado  Alto Del Poblado,NA,3400000000,600.0,4,5,4,Casa,0.0,0.0,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-na-4-habitaciones-5-banos-4-garajes/17556-M6481068
Poblado Alto De Las Palmas,ALTOS DEL POBLADO,4000000000,780.0,5,5,4,Casa,6.21576719,-75.55224177,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-5-habitaciones-5-banos-4-garajes/17556-M6480208
LOS BALSOS,SAN LUCAS,3820000000,230.0,3,4,3,Apartamento,6.182405948638916,-75.55781555175781,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-4-banos-3-garajes/597-M6477625
Los Balsos,LOS BALSOS,3000000000,260.0,3,5,3,Apartamento,6.2224731574,-75.5839204788,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-3-habitaciones-5-banos-3-garajes/12383-M5967580
Los Balsos,LOS BALSOS,3550000000,300.0,3,4,4,Apartamento,6.2075410671,-75.5681061745,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-3-habitaciones-4-banos-4-garajes/12383-M5987436
EL POBLADO LOMA DEL INDIO,ASOMADERA NO2,590000000,75.0,3,2,1,Apartamento,6.22749662399292,-75.5640640258789,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-asomadera-no2-3-habitaciones-2-banos-1-garajes/14270-M6380408
Los Balsos,LOS BALSOS,3450000000,330.0,3,4,3,Apartamento,6.1945845436,-75.5730591179,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-3-habitaciones-4-banos-3-garajes/18157-M6024341
Los Parra,LOS PARRA,1190000000,155.0,3,3,2,Apartamento,6.2019947542,-75.5681705475,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-parra-3-habitaciones-3-banos-2-garajes/12383-M5750841
URBANIZACION MIRADOR DEL POBLADO,URBANIZACION MIRADOR DEL POBLADO,5999000000,412.0,3,5,4,Casa,6.21580611307746,-75.55191326944328,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-urbanizacion-mirador-del-poblado-3-habitaciones-5-banos-4-garajes/MC6025402
LAURELES   Noroccidente,LAURELES,1200000000,205.0,3,3,2,Apartamento,6.2442713,-75.59491,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/MC6174747
EL POBLADO   Suroriente,URBANIZACION VILLA LINDA,490000000,81.0,3,2,2,Apartamento,6.1816473,-75.574394,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-urbanizacion-villa-linda-3-habitaciones-2-banos-2-garajes/MC2653960
