barrio,precio,area,habitaciones,baños,parqueaderos,telefono,url,tipo,latitud,longitud,barrio_1
los balsos,7000000,170.0,4,4,2,3243004220,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-4-habitaciones-4-banos-2-garajes/20772-M5993686,Apartamento,6.1895900219,-75.5661535263,los balsos
el poblado,5850000,162.0,4,3,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-4-habitaciones-3-banos-4-garajes/687-M5995990,Apartamento,6.207382678985596,-75.57477569580078,patio bonito
el poblado,10000000,180.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-3-habitaciones-3-banos-2-garajes/687-M6069739,Apartamento,6.1865925788879395,-75.55984497070312,los balsos no1
el poblado,17000000,190.0,2,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-3-banos-2-garajes/687-M5296033,Apartamento,6.179986476898193,-75.56378936767578,san lucas
la america,3300000,84.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-2-banos-1-garajes/12116-M5770069,Apartamento,6.260870933532715,-75.59918975830078,calasanz
belen,2950000,87.0,3,3,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-3-banos-1-garajes/12116-M5718919,Apartamento,6.220581531524658,-75.60462188720703,loma de los bernal
el tesoro,8300000,145.0,3,3,0,6044440048,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos/2214-M6077006,Apartamento,6.200573,-75.55879,el tesoro
simon bolivar medellin,3500000,120.0,4,3,1,6044449898,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simon-bolivar-medellin-4-habitaciones-3-banos-1-garajes/4673-M5992684,Apartamento,6.243001,-75.604805,simon bolivar medellin
estadio,4200000,270.0,4,3,1,3207686365,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-estadio-4-habitaciones-3-banos-1-garajes/16549-M5796855,Casa,6.26131,-75.59318,estadio
poblado,2700000,78.0,3,2,1,3004927830,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-2-banos-1-garajes/17776-M6045906,Apartamento,6.21028,-75.56874,poblado
belen,4000000,130.0,3,5,0,3158356668,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-belen-3-habitaciones-5-banos/2895-M6030772,Casa,6.235086,-75.5848654,belen
poblado,15000000,485.0,3,5,3,6042044666,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-3-habitaciones-5-banos-3-garajes/509-M5969054,Casa,6.21247,-75.55558,poblado
san lucas,18000000,490.0,4,5,3,3184444845,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-4-habitaciones-5-banos-3-garajes/16120-M5986519,Casa,6.18374,-75.56658,san lucas
el poblado la calera,9000000,220.0,3,5,2,6042704758,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-2-garajes/233-M5208092,Apartamento,6.202616214752197,-75.55442810058594,el tesoro
robledo,1200000,50.0,2,1,0,3103617777,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-robledo-2-habitaciones-1-banos/14059-M6066208,Apartamento,6.28047,-75.63241,robledo
altos del poblado,15000000,315.0,3,4,3,3184444845,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-3-habitaciones-4-banos-3-garajes/16120-M5702008,Apartamento,6.21262,-75.5564,altos del poblado
el poblado,4000000,80.0,2,2,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M5043104,Apartamento,6.1785054206848145,-75.56047821044922,san lucas
el poblado,6800000,180.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-3-habitaciones-3-banos-2-garajes/687-M6069842,Apartamento,6.186635494232178,-75.55976104736328,los balsos no1
el poblado,7900000,170.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M4577772,Apartamento,6.204042434692383,-75.55555725097656,el tesoro
altos del poblado,5000000,80.0,2,2,1,3243004220,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-2-banos-1-garajes/20772-M5993775,Apartamento,6.2084748903,-75.5554223085,altos del poblado
el poblado,2750000,57.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/687-M5411536,Apartamento,6.186973571777344,-75.56109619140625,los balsos no 1
laureles,4800000,190.0,4,4,0,3002751834,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-laureles-4-habitaciones-4-banos/17287-M6060265,Casa,6.2487,-75.60263,laureles
el poblado,4500000,124.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-3-banos-2-garajes/687-M2343002,Apartamento,6.1968255043029785,-75.571044921875,los balsos no 2
san lucas,5800000,152.0,4,5,2,3243004220,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-4-habitaciones-5-banos-2-garajes/20772-M5993795,Apartamento,6.1788234,-75.5679016,san lucas
el poblado,8000000,263.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5545726,Casa,6.186973571777344,-75.56109619140625,los balsos no 1
laureles,3600000,78.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/12116-M5288845,Apartamento,6.2644734382629395,-75.5927734375,los colores
el poblado,3750000,78.0,3,3,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-1-garajes/687-M5051880,Apartamento,6.204973220825195,-75.5646743774414,la florida
el poblado,4950000,90.0,2,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-3-banos-2-garajes/687-M4993588,Apartamento,6.189899444580078,-75.56361389160156,los balsos no 1
guayabal,3650000,69.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-fe-3-habitaciones-2-banos-1-garajes/12116-M4973497,Apartamento,6.2201457023620605,-75.58184814453125,santa fe
el poblado,6200000,116.0,4,4,2,3243004220,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/20772-M5993773,Apartamento,6.1672863121,-75.5836820614,el poblado
el poblado,6200000,145.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M5444170,Apartamento,6.2045087814331055,-75.56468200683594,la florida
el poblado,3200000,86.0,3,2,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-2-garajes/687-M4957680,Apartamento,6.2040276527404785,-75.56429290771484,la florida
el poblado,7700000,110.0,2,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-3-banos-2-garajes/687-M4940870,Apartamento,6.188079833984375,-75.55982208251953,los balsos no 1
el poblado,4200000,85.0,2,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-2-banos-1-garajes/687-M4823198,Apartamento,6.204051494598389,-75.55583953857422,el tesoro
el poblado,5100000,150.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-3-habitaciones-3-banos-2-garajes/687-M5287725,Apartamento,6.197758674621582,-75.57624053955078,la aguacatala
el poblado,3500000,70.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-1-habitaciones-2-banos-1-garajes/687-M5473243,Apartamento,6.202227592468262,-75.55608367919922,el tesoro
el poblado,4950000,70.0,2,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-2-habitaciones-2-banos-1-garajes/687-M5448844,Apartamento,6.197568416595459,-75.57805633544922,la aguacatala
el poblado,3850000,78.0,3,2,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-2-garajes/687-M5047256,Apartamento,6.2045087814331055,-75.56468200683594,la florida
el poblado,3650000,50.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-1-habitaciones-2-banos-1-garajes/687-M5742433,Apartamento,6.19848108291626,-75.57418823242188,la aguacatala
el poblado,5200000,129.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-3-banos-2-garajes/687-M5200085,Apartamento,6.189329624176025,-75.57869720458984,santa maria de los angeles
el poblado,7700000,250.0,4,4,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alejandria-4-habitaciones-4-banos-4-garajes/687-M5367512,Casa,6.200533866882324,-75.5698013305664,alejandria
el poblado,6800000,151.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M4865046,Apartamento,6.205695152282715,-75.56403350830078,la florida
belen,3400000,93.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/12116-M5608193,Apartamento,6.217579364776611,-75.60416412353516,loma de los bernal
laureles,4100000,105.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-nogal-los-almendros-3-habitaciones-2-banos-1-garajes/12116-M4715224,Apartamento,6.237283706665039,-75.59872436523438,el nogal  los almendros
poblado,25000000,1205.0,4,5,4,6042059719,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-4-garajes/12536-M5341571,Casa,6.2090645,-75.5676977,el poblado
santa maria de los angeles,5200000,87.0,3,2,0,6044440048,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos/2214-M6024321,Apartamento,6.184718,-75.579279,santa maria de los angeles
calasanz,2900000,48.0,1,5,0,3158356668,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-juan-xxiii-la-quiebra-1-habitaciones-5-banos/2895-M5584906,Apartamento,6.2650717,-75.6144721,juan xxiii la quiebra
simon bolivar,2800000,137.0,3,3,0,3158356668,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simon-bolivar-3-habitaciones-3-banos/2895-M5585034,Apartamento,6.2461853,-75.6048474,simon bolivar
