barrio,precio,area,habitaciones,baños,parqueaderos,telefono,url,tipo,latitud,longitud,barrio_1
los colores,3500000,137.0,3,2,1,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/11166-M6075650,Apartamento,6.26864,-75.59509,los colores
cordoba,1950000,85.0,4,1,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-cordoba-4-habitaciones-1-banos/11166-M6075754,Casa,6.2809,-75.57741,cordoba
aguacatala,13000000,430.0,5,5,2,3106308019,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-aguacatala-5-habitaciones-5-banos-2-garajes/13934-M5974716,Casa,6.19613483,-75.57759034,la aguacatala
santa monica,1900000,87.0,3,2,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-monica-3-habitaciones-2-banos/11166-M6075913,Apartamento,6.25107,-75.60875,santa monica
el diamante,2300000,70.0,3,2,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-3-habitaciones-2-banos/11166-M6023094,Apartamento,6.28329,-75.5873,el diamante
robledo,1450000,55.0,3,1,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-robledo-3-habitaciones-1-banos/11166-M6023086,Apartamento,6.28576,-75.61266,robledo
boston,1200000,60.0,2,1,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-boston-2-habitaciones-1-banos/11166-M6022035,Apartamento,6.24619,-75.55338,boston
robledo,1500000,58.0,3,2,1,6044449331,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-nazareth-3-habitaciones-2-banos-1-garajes/12257-M6085977,Apartamento,6.28638683,-75.60918596,nazareth
los laureles   centro,4000000,97.5,3,2,2,3137397749,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-2-banos-2-garajes/MC6085469,Apartamento,6.2419147,-75.5931,laureles
alto de las palmas,3900000,65.0,2,2,1,3116709569,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-2-habitaciones-2-banos-1-garajes/19861-M6082585,Apartamento,6.224160194396973,-75.56193542480469,asomadera no2
el poblado,21500000,355.0,3,4,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-4-garajes/687-M5701786,Casa,6.201934337615967,-75.55345153808594,el tesoro
calasanz,2800000,54.0,2,2,1,3155655073,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390,Apartamento,6.264897,-75.6083195,calasanz
laureles,3300000,83.0,2,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-carlos-e-restrepo-2-habitaciones-2-banos-1-garajes/12116-M5701714,Apartamento,6.256511688232422,-75.57665252685547,carlos e restrepo
el poblado,11000000,110.0,1,1,1,3006864693,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-1-habitaciones-1-banos-1-garajes/18975-M5609044,Apartamento,6.2087291,-75.5503474,altos del poblado
poblado,15000000,129.0,3,4,2,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-4-banos-2-garajes/20543-M6073905,Apartamento,6.21929378,-75.56801532,castropol
el poblado,5300000,155.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-3-banos-2-garajes/687-M5424933,Apartamento,6.194789886474609,-75.56903839111328,los balsos no 2
el poblado,10800000,167.0,3,4,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5345026,Apartamento,6.183346271514893,-75.57118225097656,el diamante no 2
poblado san lucas,22500000,510.0,3,4,2,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-san-lucas-3-habitaciones-4-banos-2-garajes/20765-M6015148,Casa,6.1806623,-75.5624414,poblado san lucas
el poblado,8450000,220.0,3,4,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-4-banos-2-garajes/687-M6087594,Apartamento,6.197387218475342,-75.5653076171875,los naranjos
envigado,10500000,145.0,2,3,1,3006864693,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-avanzada-2-habitaciones-3-banos-1-garajes/18975-M5824947,Apartamento,6.29321295,-75.53933483,la avanzada
el poblado,9100000,167.0,3,4,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5345035,Apartamento,6.183346271514893,-75.57118225097656,el diamante no 2
el poblado,16600000,250.0,3,3,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-3-banos-3-garajes/687-M6088701,Casa,6.20414924621582,-75.55548858642578,el tesoro
el poblado,21000000,230.0,3,4,3,3006864693,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-colombia-3-habitaciones-4-banos-3-garajes/18975-M5583440,Apartamento,6.2276352957,-75.5718183517,colombia
poblado,5000000,110.0,3,2,1,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-2-banos-1-garajes/20765-M6019651,Apartamento,6.1949017884,-75.5698657036,poblado
el poblado,22800000,500.0,5,5,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-5-habitaciones-5-banos-2-garajes/687-M6087302,Apartamento,6.216073513031006,-75.5613021850586,asomadera no2
el poblado,18000000,500.0,5,5,4,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-5-habitaciones-5-banos-4-garajes/19797-M6079394,Casa,6.1961177318,-75.555961132,el poblado
el poblado,18000000,375.0,4,5,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/687-M6088004,Casa,6.20415735244751,-75.55551147460938,el tesoro
envigado,11000000,160.0,3,2,2,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-esmeraldal-3-habitaciones-2-banos-2-garajes/20543-M6075298,Casa,6.16972302,-75.5719868,el esmeraldal
poblado,6000000,85.0,2,2,1,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-2-habitaciones-2-banos-1-garajes/19797-M6086761,Apartamento,6.2143852,-75.5567748,poblado
palmas,45000000,1550.0,4,5,4,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-palmas-4-habitaciones-5-banos-4-garajes/20765-M6017242,Casa,6.2386625,-75.564787,palmas
el poblado,30800000,500.0,5,5,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-5-habitaciones-5-banos-2-garajes/687-M6087278,Apartamento,6.216756343841553,-75.56126403808594,asomadera no2
calasanz parte alta,2250000,57.0,3,2,1,3196727803,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913,Apartamento,6.261290550231934,-75.60391235351562,los alcazares
medellin,3400000,87.0,3,2,1,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos-1-garajes/11813-M6020362,Apartamento,6.2613011,-75.5973567,medellin
poblado la frontera,9950000,106.0,3,2,2,6044446835,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-3-habitaciones-2-banos-2-garajes/16740-M5530342,Apartamento,0.0,0.0,
laureles,17000000,600.0,5,3,0,3013421846,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-laureles-5-habitaciones-3-banos/11530-M6085638,Casa,6.246761798858643,-75.5986557006836,laureles
medellin,3500000,68.0,3,2,1,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-shellmar-3-habitaciones-2-banos-1-garajes/11813-M5746903,Apartamento,6.2226615,-75.5774838,shellmar
medellin,3200000,85.0,3,2,0,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769,Apartamento,6.2535459,-75.5973513,medellin
san lucas,25000000,308.0,3,3,2,3152227299,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/2328-M4061033,Casa,6.1785054206848145,-75.56047821044922,san lucas
los balsos,4600000,110.0,3,2,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-2-garajes/11224-M6070847,Apartamento,6.1943074508,-75.5702398294,los balsos
las palmas,40000000,680.0,3,5,4,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-3-habitaciones-5-banos-4-garajes/2671-M5965857,Casa,6.15713,-75.55255,las palmas
el retiro,16000000,367.67,4,5,2,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-retiro-4-habitaciones-5-banos-2-garajes/2671-M5812021,Casa,6.056842,-75.503862,el retiro
poblado alto,6700000,107.0,2,3,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/11224-M5750605,Apartamento,6.2166084615,-75.5559408077,altos del poblado
san lucas,4500000,128.0,3,3,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/11224-M5941951,Apartamento,6.1833708,-75.56984891,san lucas
los balsos,58700000,959.32,5,5,2,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-2-garajes/2671-M5812213,Casa,6.18271,-75.553667,los balsos
poblado,9000000,180.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/14894-M6087271,Apartamento,6.1919839,-75.5718804,poblado
poblado,11500000,300.0,4,4,3,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-4-habitaciones-4-banos-3-garajes/14894-M5551430,Apartamento,6.2190777,-75.5689478,poblado
el poblado,9000000,143.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14894-M5740065,Apartamento,6.2170204,-75.553838,el poblado
el poblado,20000000,380.0,2,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-3-banos-2-garajes/14894-M5769587,Apartamento,6.1821462,-75.5657193,el poblado
el poblado,9500000,140.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14894-M5740074,Apartamento,6.2170204,-75.553838,el poblado
el poblado,9000000,120.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14894-M5975214,Apartamento,6.2170204,-75.553838,el poblado
laureles   nororiente,6000000,96.0,3,4,1,3022005705,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-4-banos-1-garajes/MC5943186,Apartamento,6.2486978,-75.59433,lorena
belen loma de los bernal   nororiente,3800000,100.0,3,2,1,3186514735,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/MC5999951,Apartamento,6.21942,-75.60111,loma de los bernal
los conquistadores   zona urbana ,2800000,75.0,2,2,1,3207447285,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-conquistadores-2-habitaciones-2-banos-1-garajes/MC6073200,Apartamento,6.2415104,-75.57978,los conquistadores
el poblado santa maria de los angeles   suroriente,3000000,60.0,2,2,1,3007250338,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/MC6028170,Apartamento,6.189105,-75.579666,santa maria de los angeles
patio bonito,3300000,75.0,2,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-2-habitaciones-2-banos-1-garajes/16174-M5779450,Apartamento,6.2052903175354,-75.5749282836914,patio bonito
el tesoro,5100000,120.0,2,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-2-habitaciones-3-banos-2-garajes/16174-M5830242,Apartamento,6.2057294845581055,-75.56114196777344,la florida
calasanz,3400000,90.0,3,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ferreni-3-habitaciones-2-banos-1-garajes/16174-M5993273,Apartamento,6.268838405609131,-75.59741973876953,ferreni
el campestre,4600000,130.0,2,3,1,3015427841,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no2-2-habitaciones-3-banos-1-garajes/16174-M6075271,Apartamento,6.1807861328125,-75.5716781616211,el diamante no2
calasanz,2700000,70.0,2,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-parte-alta-2-habitaciones-2-banos-1-garajes/16174-M5683791,Apartamento,6.263941764831543,-75.60248565673828,calasanz parte alta
altos del poblado,10000000,140.0,3,4,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-3-habitaciones-4-banos-2-garajes/16174-M5973149,Apartamento,6.216934680938721,-75.55595397949219,altos del poblado
los balsos no 2,11000000,110.0,3,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-3-banos-2-garajes/16174-M5746763,Apartamento,6.195035457611084,-75.57086181640625,los balsos no 2
milla de oro,7500000,165.0,3,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no2-3-habitaciones-3-banos-2-garajes/16174-M5977246,Casa,6.197224140167236,-75.57247161865234,los balsos no2
ciudad del rio,5300000,103.0,3,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-3-banos-2-garajes/16174-M5742725,Apartamento,6.223532676696777,-75.5712661743164,villa carlota
la almeria,3000000,84.0,3,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-teresita-3-habitaciones-2-banos-1-garajes/16174-M6006937,Apartamento,6.2438578605651855,-75.61198425292969,santa teresita
el poblado,18000000,260.0,3,4,2,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015781,Apartamento,6.2017344,-75.5513343,el poblado
el poblado,5200000,90.0,2,2,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-2-habitaciones-2-banos-2-garajes/687-M4986098,Apartamento,6.193474292755127,-75.55982971191406,los naranjos
el poblado,10500000,120.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-3-banos-2-garajes/687-M5856422,Apartamento,6.1953816413879395,-75.55748748779297,los naranjos
laureles,6000000,130.0,3,2,0,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-acacias-3-habitaciones-2-banos/20543-M6019246,Apartamento,6.24064653,-75.59948473,las acacias
palmas,70000000,4650.0,4,5,4,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-5-banos-4-garajes/20765-M6024049,Casa,0.0,0.0,na
poblado,6800000,160.0,4,4,0,3156901885,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-urbanizacion-bosques-de-la-aguacata-4-habitaciones-4-banos/21212-M6088210,Apartamento,6.19374461,-75.58033743,urbanizacion bosques de la aguacata
poblado,7800000,209.0,3,4,2,3188030239,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/19014-M5769189,Apartamento,6.2058925,-75.5607995,poblado
el poblado castropol,6700000,135.0,3,4,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-4-banos-2-garajes/687-M5646313,Apartamento,6.215575218200684,-75.56543731689453,castropol
poblado,9000000,120.0,3,3,1,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-1-garajes/20543-M5997125,Apartamento,6.19392421,-75.5662158,los balsos no 1
envigado,6500000,135.0,3,3,2,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-sebastian-3-habitaciones-3-banos-2-garajes/20543-M6013210,Apartamento,6.16270048,-75.57097694,san sebastian
el poblado,11500000,365.0,4,5,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5422025,Apartamento,6.186926364898682,-75.56047058105469,los balsos no 1
el poblado,7500000,80.0,2,3,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-2-habitaciones-3-banos-1-garajes/687-M5983096,Apartamento,6.19755744934082,-75.56517028808594,los naranjos
poblado,6500000,116.0,3,3,0,3156901885,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-3-banos/21212-M6088191,Apartamento,6.22072983,-75.57458359,simesa
poblado,13500000,130.0,3,4,2,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-4-banos-2-garajes/20543-M6065528,Apartamento,6.21233326,-75.56625044,la linde
alto de las palmas,30000000,320.0,3,5,2,3188030239,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-3-habitaciones-5-banos-2-garajes/19014-M5572978,Casa,,,na
poblado,6500000,136.0,2,2,1,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/20543-M6013191,Apartamento,6.2018826,-75.57059015,alejandria
san diego,3100000,67.0,2,2,1,3001527570,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-2-habitaciones-2-banos-1-garajes/14169-M5852283,Apartamento,6.2327140767,-75.5676969326,san diego
florida nueva,6600000,196.0,5,5,0,3155655073,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-florida-nueva-5-habitaciones-5-banos/19795-M5691377,Casa,6.2759900614,-75.5851537408,florida nueva
el poblado,15000000,130.0,2,2,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M4571013,Apartamento,6.181797981262207,-75.56238555908203,san lucas
castropol,5500000,94.0,3,2,1,3165707020,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-3-habitaciones-2-banos-1-garajes/20033-M6087754,Apartamento,0.0,0.0,na
alto de las palmas,57500000,1500.0,4,5,4,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alto-de-las-palmas-4-habitaciones-5-banos-4-garajes/19797-M6085489,Casa,6.1538929,-75.5383544,alto de las palmas
el poblado,22000000,260.0,3,4,2,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015789,Apartamento,6.2017344,-75.5513343,el poblado
el poblado,9500000,250.0,4,4,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no1-4-habitaciones-4-banos-3-garajes/687-M5982977,Casa,6.187114238739014,-75.56001281738281,los balsos no1
medellin,4500000,120.0,3,4,1,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-1-garajes/11813-M6018002,Apartamento,6.1818313,-75.5747879,medellin
santa fe,2000000,120.0,3,2,0,3245430030,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-santa-fe-3-habitaciones-2-banos/17698-M6062834,Casa,6.22429,-75.58119,santa fe
los colores,10000000,817.0,5,4,2,3236330221,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-colores-5-habitaciones-4-banos-2-garajes/18936-M6019304,Casa,6.26874,-75.59328,los colores
las palmas,7200000,110.0,2,3,1,3006553568,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-1-garajes/16749-M4802293,Apartamento,6.219935894012451,-75.56746673583984,castropol
loma los gonzalez,6000000,104.0,3,3,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/11224-M5856883,Apartamento,6.1824538847,-75.5684463452,san lucas
ciudad del rio,5600000,80.0,2,3,1,3174019439,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-2-habitaciones-3-banos-1-garajes/2511-M5753501,Apartamento,6.2200488,-75.57336186,simesa
alto de palmas,35000000,510.0,3,4,4,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alto-de-palmas-3-habitaciones-4-banos-4-garajes/2671-M5812048,Casa,6.154891,-75.517273,alto de palmas
ciudad del rio,5000000,110.0,3,2,1,3014314185,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/11224-M5612473,Apartamento,6.220547972,-75.5746542283,simesa
poblado,25000000,306.0,3,4,2,3122813447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/17098-M5781507,Apartamento,6.2476376,-75.5658153,poblado
las palmas,27220000,443.33,4,5,2,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-4-habitaciones-5-banos-2-garajes/2671-M5812014,Casa,6.137312,-75.526199,las palmas
laureles,5500000,136.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/14894-M5777128,Apartamento,6.241602,-75.594376,laureles
poblado,14650000,365.0,4,4,3,6044443343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-4-habitaciones-4-banos-3-garajes/98-M5941801,Apartamento,6.2515025,-75.6073741,poblado
poblado,12500000,180.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/14894-M5727427,Apartamento,6.1844306,-75.5591707,poblado
belen loma de los bernal   nororiente,2400000,50.0,2,1,1,3147723265,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-2-habitaciones-1-banos-1-garajes/MC6004059,Apartamento,6.2165895,-75.60483,loma de los bernal
san german   zona urbana ,3900000,85.26,3,3,1,3137771156,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-3-banos-1-garajes/MC6070741,Apartamento,6.2713256,-75.58899,san german
belen de la mota   nororiente,4600000,69.0,3,2,1,3122988694,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-rincon-3-habitaciones-2-banos-1-garajes/MC5981708,Apartamento,6.206575,-75.60178,el rincon
nueva villa de aburra   suroccidente,1900000,55.0,2,1,0,3113903428,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-nueva-villa-de-aburra-2-habitaciones-1-banos/MC4655552,Apartamento,6.235844,-75.60191,nueva villa de aburra
los balsos no 1,6600000,114.0,3,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-3-habitaciones-3-banos-2-garajes/16174-M5833248,Apartamento,6.191619873046875,-75.56548309326172,los balsos no1
los gonzalez,8500000,175.0,3,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no2-3-habitaciones-3-banos-2-garajes/16174-M5979259,Apartamento,6.196422576904297,-75.56785583496094,los balsos no2
bolivariana,3000000,68.0,2,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-2-habitaciones-2-banos-1-garajes/16174-M6069836,Apartamento,6.246315956115723,-75.59113311767578,
santa monica,3000000,91.0,4,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-belencito-4-habitaciones-2-banos-1-garajes/16174-M5736424,Apartamento,6.251168251037598,-75.61492919921875,belencito
san joaquin,3200000,155.0,4,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-joaquin-4-habitaciones-2-banos-1-garajes/16174-M5849768,Apartamento,6.248135089874268,-75.58602905273438,san joaquin
castropol,3200000,75.0,2,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-2-banos-1-garajes/16174-M5832990,Apartamento,6.22196102142334,-75.56771850585938,castropol
san julian,3800000,96.0,3,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos-1-garajes/16174-M5942235,Apartamento,6.225588798522949,-75.5670394897461,castropol
los naranjos,4700000,90.0,3,2,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-2-banos-2-garajes/16174-M5834443,Apartamento,6.192545413970947,-75.55994415283203,los naranjos
loma de las brujas,3500000,90.0,3,3,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-las-brujas-3-habitaciones-3-banos-1-garajes/16174-M6072674,Apartamento,6.164053916931152,-75.57855224609375,loma de las brujas
el campestre,6000000,131.0,2,4,2,6044483250,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-campestre-2-habitaciones-4-banos-2-garajes/4334-M6015819,Apartamento,6.18437,-75.56628,el campestre
san lucas,4000000,85.0,2,2,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-urbanizacion-gualcala-2-habitaciones-2-banos-2-garajes/16174-M5751114,Apartamento,6.182138919830322,-75.5622787475586,urbanizacion gualcala
el poblado oviedo,4600000,118.0,3,3,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-3-habitaciones-3-banos-1-garajes/16174-M5792023,Apartamento,6.19698429107666,-75.57559204101562,la aguacatala
santa maria de los angeles,3800000,87.0,3,2,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos-1-garajes/16174-M5656435,Apartamento,6.191115379333496,-75.58038330078125,santa maria de los angeles
la florida,4300000,140.0,3,3,2,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/16174-M5965317,Apartamento,6.20591926574707,-75.56981658935547,la florida
simon bolivar,3800000,130.0,4,4,1,3012100333,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simon-bolivar-4-habitaciones-4-banos-1-garajes/16174-M5651725,Apartamento,6.245794773101807,-75.60449981689453,simon bolivar
el poblado,6200000,69.0,1,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-1-habitaciones-2-banos-1-garajes/687-M5748130,Apartamento,6.19466495513916,-75.56161499023438,los naranjos
